scenario,direct_ms,parallel_ms,speedup_x,direct_paired_mm,parallel_paired_mm,direct_rmse_mm,parallel_rmse_mm,parallel_search_ms,parallel_source,parallel_scored_candidates,parallel_refine_candidates,initial_paired_mm,initial_admission_action,initial_admission_reason,initial_admission_recovery,direct_success,parallel_success
baseline,511,517,0.988,3.7304,3.7304,0.4018,0.4018,517,parallel_batch_refine,1,1,3.3708,refine,robust_initial_residual_requires_refine,,true,true
medium_noise,519,557,0.932,3.7270,3.7311,0.4823,0.4806,557,parallel_batch_refine,1,1,3.4249,refine,robust_initial_residual_requires_refine,,true,true
high_noise,510,521,0.979,4.1898,4.1898,0.6318,0.6318,521,parallel_batch_refine,1,1,3.6344,refine,robust_initial_residual_requires_refine,,true,true
outlier_points,526,527,0.998,4.5450,4.5450,0.5391,0.5391,527,parallel_batch_refine,1,1,4.6290,refine,robust_initial_residual_requires_refine,,true,true
large_initial_offset,508,0,0.000,4.2203,-1.0000,0.5127,11.2411,0,parallel_initial_admission_rejected,0,0,11.2411,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
rotation_5deg_y,497,768,0.647,20.6690,3.7321,0.5565,0.4012,768,parallel_batch_refine,74,4,4.4744,refine,robust_initial_residual_requires_refine,,true,true
rotation_10deg_y,543,0,0.000,6.5809,-1.0000,0.5644,9.1169,0,parallel_initial_admission_rejected,0,0,9.1169,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
rotation_20deg_y,465,0,0.000,19.1100,-1.0000,0.0000,19.1100,0,parallel_initial_admission_rejected,0,0,19.1100,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
large_translation_20mm,490,0,0.000,15.8024,-1.0000,0.6427,19.1133,0,parallel_initial_admission_rejected,0,0,19.1133,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
large_translation_30mm,485,0,0.000,29.0604,-1.0000,0.0000,29.0604,0,parallel_initial_admission_rejected,0,0,29.0604,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
combined_extreme,534,0,0.000,6.4853,-1.0000,0.5564,17.1970,0,parallel_initial_admission_rejected,0,0,17.1970,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
