index,x_mm,y_mm,z_mm
0,47.70329,-25.79912,-15.88200
1,47.70329,-26.07646,-15.72600
2,47.98063,-26.07646,-15.88200
3,47.70329,-25.79912,-16.19400
4,48.81266,-25.79912,-15.88200
5,47.14860,-25.79912,-15.88200
6,48.53532,-26.07646,-15.88200
7,48.81266,-26.07646,-15.72600
8,47.14860,-26.07646,-15.72600
9,47.98063,-26.07646,-16.19400
10,48.81266,-26.35380,-15.25800
11,48.81266,-26.35380,-15.57000
12,47.14860,-25.79912,-16.19400
13,48.53532,-26.63115,-15.25800
14,48.81266,-26.07646,-16.03800
15,47.70329,-26.07646,-16.35000
16,47.70329,-26.63115,-15.72600
17,48.53532,-26.63115,-15.57000
18,46.87126,-26.07646,-15.88200
19,47.98063,-26.63115,-15.88200
20,49.09001,-26.07646,-15.88200
21,48.81266,-26.63115,-15.10200
22,48.53532,-26.63115,-15.88200
23,47.42595,-26.07646,-16.50600
24,47.14860,-25.79912,-16.50600
25,47.14860,-26.63115,-15.72600
26,46.87126,-26.07646,-16.19400
27,47.98063,-26.63115,-16.19400
28,49.36735,-26.35380,-15.25800
29,49.36735,-26.35380,-15.57000
30,47.70329,-26.90849,-15.88200
31,48.81266,-26.63115,-16.03800
32,47.70329,-26.63115,-16.35000
33,47.14860,-26.90849,-15.57000
34,49.36735,-26.35380,-15.88200
35,46.87126,-26.63115,-15.88200
36,49.36735,-26.63115,-15.10200
37,46.87126,-26.07646,-16.50600
38,47.42595,-26.07646,-16.81800
39,47.14860,-25.79912,-16.81800
40,47.70329,-26.90849,-16.19400
41,48.53532,-27.18583,-15.25800
42,47.42595,-26.63115,-16.50600
43,47.42595,-27.18583,-15.57000
44,48.53532,-27.18583,-15.57000
45,46.87126,-26.63115,-16.19400
46,48.81266,-27.18583,-15.10200
47,47.14860,-27.18583,-15.41400
48,47.14860,-26.90849,-16.19400
49,47.42595,-27.18583,-15.88200
50,48.53532,-27.18583,-15.88200
51,49.64470,-26.63115,-15.25800
52,49.36735,-26.63115,-16.03800
53,47.14860,-26.35380,-16.81800
54,46.87126,-26.07646,-16.81800
55,47.14860,-26.07646,-16.97400
56,49.64470,-26.63115,-15.57000
57,46.59391,-26.90849,-15.57000
58,47.14860,-26.63115,-16.66200
59,46.87126,-26.63115,-16.50600
60,49.64470,-26.63115,-15.88200
61,47.14860,-27.18583,-16.03800
62,48.81266,-27.18583,-16.03800
63,47.14860,-26.90849,-16.50600
64,46.87126,-27.18583,-15.88200
65,48.81266,-27.46318,-15.25800
66,49.36735,-27.18583,-15.10200
67,46.59391,-27.18583,-15.41400
68,48.81266,-27.46318,-15.57000
69,49.36735,-26.90849,-16.19400
70,46.59391,-27.18583,-15.72600
71,49.09001,-27.18583,-16.19400
72,48.81266,-27.46318,-15.88200
73,47.14860,-27.46318,-15.88200
74,49.64470,-27.18583,-15.25800
75,49.64470,-27.18583,-15.57000
76,47.42595,-27.74052,-15.57000
77,46.31657,-27.18583,-15.57000
78,49.36735,-27.46318,-15.25800
79,47.14860,-27.74052,-15.41400
80,49.36735,-27.46318,-15.57000
81,49.64470,-27.18583,-15.88200
82,49.36735,-27.18583,-16.35000
83,47.14860,-27.74052,-15.72600
84,49.36735,-27.46318,-15.88200
85,49.64470,-27.18583,-16.19400
86,45.20719,-25.52177,-15.57000
87,45.20719,-24.96708,-15.57000
88,49.36735,-27.46318,-16.19400
89,46.59391,-27.74052,-15.41400
90,45.20719,-25.52177,-15.88200
91,45.20719,-24.96708,-15.88200
92,47.14860,-28.01787,-15.25800
93,46.59391,-27.74052,-15.72600
94,47.14860,-28.01787,-15.57000
95,45.20719,-25.52177,-16.19400
96,46.87126,-28.01787,-15.41400
97,46.31657,-27.74052,-15.57000
98,44.92985,-25.52177,-15.41400
99,44.92985,-24.96708,-15.41400
100,47.42595,-28.29521,-15.25800
101,46.59391,-28.01787,-15.57000
102,44.92985,-25.79912,-15.57000
103,44.92985,-24.68974,-15.57000
104,46.31657,-24.96708,-12.45000
105,47.14860,-28.29521,-15.10200
106,46.03922,-24.96708,-12.60600
107,47.14860,-28.29521,-15.41400
