key,value
algorithm_rmse_mm,3.3708
pipeline_elapsed_ms,524
parallel_search_total_ms,524
final_result_source,paired_residual_guard_initial_fallback
parallel_scored_candidate_count,1
refine_candidate_count,1
paired_residual_guard_requested,true
paired_residual_guard_point_count,240
paired_residual_guard_target_point_count,240
paired_residual_guard_source_variant_valid,true
paired_residual_guard_source_variant_type,QVariantList
paired_residual_guard_applied,true
paired_residual_guard_reason,final_paired_residual_regressed
paired_residual_guard_initial_mm,3.3708
paired_residual_guard_final_mm,3.7304
