index,x_mm,y_mm,z_mm
0,48.70685,-27.59307,-18.72573
1,48.95258,-27.65485,-18.25874
2,49.43221,-27.38267,-18.61390
3,49.26090,-27.57533,-18.65913
4,50.59914,-27.30242,-18.59707
5,48.15318,-27.59648,-18.69245
6,49.77374,-27.64829,-18.46437
7,50.27209,-27.37902,-18.50810
8,48.73687,-27.86043,-18.16141
9,49.75144,-27.58194,-18.86126
10,49.85477,-28.14674,-18.17480
11,50.07085,-27.92682,-18.17227
12,48.58141,-27.10754,-18.87272
13,50.15226,-28.41094,-17.78283
14,50.59132,-27.57829,-18.75547
15,48.68030,-27.86603,-19.19555
16,48.95567,-28.20950,-18.26411
17,50.00771,-27.93683,-18.34113
18,48.45067,-27.86068,-18.30048
19,49.77326,-28.13950,-18.55521
20,50.09259,-27.86189,-18.81161
21,50.10050,-28.20852,-17.70782
22,49.98897,-27.93392,-18.65255
23,48.96687,-27.85145,-18.95660
24,48.90064,-27.30680,-19.12009
25,48.16718,-28.42991,-18.54480
26,48.09397,-27.65559,-18.67596
27,49.41656,-27.93441,-18.93069
28,50.98123,-28.12851,-17.83006
29,51.17465,-27.85658,-18.32430
30,48.71303,-28.70238,-18.73647
31,50.04429,-28.19978,-18.64209
32,49.13035,-27.93466,-19.06977
33,48.75087,-28.69386,-18.01375
34,51.15591,-27.85366,-18.63572
35,47.88097,-28.43016,-18.68387
36,50.65417,-28.20511,-17.74109
37,48.28738,-27.38366,-19.17019
38,48.94814,-27.84854,-19.26803
39,48.88191,-27.30389,-19.43151
40,48.69429,-28.69947,-19.04789
41,49.81738,-28.76342,-17.85226
42,48.84415,-27.93490,-19.20884
43,49.02925,-28.96949,-18.03307
44,50.34876,-28.69366,-18.28244
45,47.86224,-28.42725,-18.99529
46,50.10358,-28.76317,-17.71319
47,48.63597,-28.50145,-18.10759
48,48.71340,-28.68804,-18.63659
49,49.22267,-28.69756,-18.52731
50,49.54509,-28.97460,-18.78907
51,50.92165,-28.20196,-17.91344
52,50.81012,-27.92736,-18.85818
53,48.67285,-28.12757,-19.25407
54,48.60662,-27.58292,-19.41756
55,48.08915,-27.86361,-19.78512
56,50.90291,-28.19905,-18.22487
57,48.07137,-28.22607,-18.22734
58,48.68376,-28.40635,-19.10105
59,48.62844,-28.14048,-19.11151
60,50.64936,-28.41314,-18.85025
61,48.38635,-28.76465,-18.54763
62,50.25953,-28.48541,-18.83027
63,48.69467,-28.68513,-18.94802
64,48.66899,-28.70096,-18.49403
65,49.86094,-29.25604,-18.18554
66,50.65726,-28.75977,-17.74646
67,48.08228,-28.50485,-18.07432
68,50.41499,-29.23830,-18.11895
69,51.14027,-28.40541,-18.95251
70,47.61658,-28.98797,-18.51689
71,50.31485,-28.75128,-18.81981
72,50.27044,-28.76420,-18.67724
73,48.73523,-29.24561,-18.33054
74,51.47485,-28.68976,-18.03757
75,50.67118,-28.97070,-18.54420
76,48.69437,-29.32197,-18.10250
77,47.79608,-28.50510,-18.21339
78,50.98741,-29.23781,-17.84080
79,48.97702,-29.25828,-18.04890
80,50.39589,-29.24973,-18.53025
81,50.88727,-28.75079,-18.54166
82,50.79447,-28.47910,-19.17497
83,48.74614,-29.52439,-18.17752
84,51.16209,-28.96297,-18.64646
85,50.63372,-28.96488,-19.16704
86,46.46731,-27.11697,-17.94792
87,46.67637,-26.29329,-18.12535
88,50.93120,-29.22908,-18.77507
89,48.42334,-29.26168,-18.01563
90,46.21376,-27.33106,-18.57330
91,46.44548,-26.55941,-18.25397
92,48.64997,-29.33488,-17.95994
93,48.19245,-29.52780,-18.14424
94,48.96920,-29.53415,-18.20730
95,46.19502,-27.32815,-18.88472
96,48.15161,-29.60415,-17.91620
97,47.79916,-29.05976,-18.21876
98,46.53780,-27.32230,-17.71151
99,46.74687,-26.49863,-17.88894
100,48.48138,-30.09653,-18.11041
101,47.86540,-29.60440,-18.05527
102,46.40416,-27.12698,-18.11677
103,46.52381,-26.48886,-17.85916
104,48.30904,-26.51777,-15.01361
105,48.21391,-30.09969,-17.93806
106,47.47272,-26.58487,-15.03394
107,48.64214,-29.61076,-18.11833
108,46.51124,-27.59526,-18.18133
109,46.71722,-26.21693,-18.35339
110,45.92446,-26.77666,-18.70700
111,46.15145,-26.83552,-18.55144
112,48.37467,-29.61391,-17.94598
113,47.82159,-27.06582,-14.81685
114,46.70466,-27.32333,-18.67556
115,45.90881,-27.32840,-19.02379
116,47.48054,-26.30899,-14.87554
117,48.45192,-25.70198,-20.88355
118,46.25160,-27.32255,-17.85058
119,48.25967,-25.07995,-20.31102
120,47.19944,-25.64283,-20.49228
121,47.49145,-26.58778,-14.72251
122,47.91388,-25.15364,-20.53348
123,48.56991,-26.44905,-20.79508
124,49.05735,-25.90100,-20.99184
125,50.22275,-26.72905,-21.15318
126,45.89490,-27.11746,-18.22606
127,46.10396,-26.29379,-18.40350
128,48.77887,-30.36073,-17.71844
129,48.26750,-24.80408,-20.15263
130,46.93197,-25.64598,-20.31993
131,48.77779,-26.51934,-21.05081
132,49.54362,-26.24692,-21.26690
133,48.30717,-25.62168,-20.45896
134,48.24403,-25.63169,-20.62782
135,47.75004,-25.08477,-20.52019
136,47.20525,-26.58802,-14.86159
137,47.37112,-25.43583,-20.34718
138,50.50933,-26.71446,-20.91423
139,46.42628,-27.04770,-18.65623
140,48.00186,-25.63335,-21.00933
141,47.68608,-25.97441,-20.66747
142,48.43627,-26.25373,-21.20034
143,50.22312,-26.71471,-21.05330
144,49.32483,-25.89784,-21.16419
145,49.09357,-26.17829,-21.39268
146,50.44974,-26.78791,-20.99761
147,49.53580,-26.52279,-21.42529
148,49.10794,-26.99739,-21.14515
149,50.99678,-26.16641,-21.11099
150,48.26933,-25.63020,-21.18168
151,47.67826,-26.25028,-20.82586
152,50.09422,-25.68886,-21.29480
153,45.98104,-26.77105,-17.67286
154,46.18537,-26.77790,-18.01406
155,45.38952,-26.78297,-18.36230
156,45.63216,-26.29010,-17.88995
157,48.42845,-26.52959,-21.35874
158,50.21529,-26.99058,-21.21170
159,51.27516,-26.44204,-21.13032
160,46.92889,-25.09133,-20.31456
161,48.77162,-25.41004,-21.04007
162,47.88259,-26.25713,-21.16707
163,48.30409,-25.06703,-20.45359
164,47.69035,-25.63510,-20.59454
165,46.64576,-25.64623,-20.45901
166,47.70647,-24.59214,-20.18690
167,47.40837,-28.76666,-20.06798
168,49.65379,-27.26986,-21.33682
169,49.31227,-27.00424,-21.48635
