index,x_mm,y_mm,z_mm
0,58.90347,-22.68789,-10.78302
1,59.12686,-22.66560,-10.30148
2,59.58079,-22.35737,-10.66092
3,59.44347,-22.57779,-10.69358
4,60.71919,-22.09514,-10.59965
5,58.35561,-22.77426,-10.77470
6,59.94865,-22.55099,-10.46924
7,60.40258,-22.21286,-10.51812
8,58.93900,-22.89197,-10.19317
9,59.94079,-22.52727,-10.87149
10,60.08596,-23.00067,-10.12602
11,60.26596,-22.75057,-10.13658
12,58.71561,-22.24416,-10.98527
13,60.39542,-23.17652,-9.69560
14,60.76258,-22.38276,-10.72868
15,58.94686,-23.00541,-11.22261
16,59.21363,-23.21094,-10.24897
17,60.21542,-22.78642,-10.30617
18,58.66507,-22.95011,-10.34429
19,60.02756,-23.04270,-10.50841
20,60.31651,-22.74462,-10.77756
21,60.30935,-22.97838,-9.64448
22,60.21542,-22.81633,-10.61673
23,59.21293,-22.92355,-10.97373
24,59.07561,-22.41407,-11.19583
25,58.48577,-23.57731,-10.54066
26,58.30507,-22.84002,-10.75485
27,59.66756,-22.93261,-10.91898
28,61.17382,-22.77429,-9.73433
29,61.35382,-22.52420,-10.24490
30,59.07701,-23.77856,-10.67800
31,60.30935,-23.06809,-10.57617
32,59.39363,-22.99074,-11.07010
33,59.06916,-23.69503,-9.95912
34,61.35382,-22.55410,-10.55546
35,58.21185,-23.63545,-10.69178
36,60.85721,-22.89201,-9.65280
37,58.48507,-22.58992,-11.26542
38,59.21293,-22.95345,-11.28430
39,59.07561,-22.44397,-11.50639
40,59.07701,-23.80846,-10.98856
41,60.12219,-23.58186,-9.74309
42,59.11970,-23.04888,-11.22122
43,59.38647,-23.92451,-9.93703
44,60.66219,-23.47176,-10.15366
45,58.21185,-23.66535,-11.00234
46,60.39612,-23.52372,-9.59197
47,58.93255,-23.53274,-10.07758
48,59.06916,-23.75483,-10.58025
49,59.56647,-23.67441,-10.44759
50,59.94219,-23.92167,-10.66422
51,61.13114,-22.86378,-9.81224
52,61.03721,-22.70172,-10.78449
53,58.98239,-23.26930,-11.25388
54,58.84507,-22.75982,-11.47598
55,58.39900,-23.15159,-11.83542
56,61.13114,-22.89368,-10.12280
57,58.34130,-23.36140,-10.25080
58,59.02578,-23.52702,-11.07235
