index,x_mm,y_mm,z_mm
0,28.84390,-30.23662,-8.70600
1,28.28921,-28.29521,-8.55000
2,28.84390,-31.06865,-8.23800
3,27.45718,-24.41240,-8.08200
4,30.23062,-27.18583,-7.77000
5,29.95327,-31.90068,-7.45800
6,31.06265,-23.85771,-7.61400
7,26.34780,-28.29521,-7.14600
8,29.39858,-32.73272,-6.99000
9,26.07046,-24.96708,-6.99000
10,30.23062,-31.06865,-6.52200
11,30.50796,-22.19364,-6.67800
12,26.62514,-29.40459,-6.36600
13,29.95327,-21.63896,-6.36600
14,26.07046,-29.40459,-6.05400
15,29.95327,-21.08427,-6.05400
16,25.51577,-27.74052,-5.74200
17,29.67593,-20.52958,-5.58600
18,31.33999,-27.18583,-5.27400
19,27.17983,-19.97489,-5.43000
20,31.06265,-31.06865,-5.11800
21,31.89468,-22.74833,-4.96200
22,28.01187,-16.09208,-4.96200
23,31.33999,-29.40459,-4.65000
24,30.23062,-20.52958,-4.65000
25,25.23842,-15.53739,-4.65000
26,26.62514,-31.06865,-4.49400
27,24.40639,-22.74833,-4.49400
28,26.90249,-17.75614,-4.33800
29,30.50796,-34.11943,-4.02600
30,24.68374,-25.52177,-4.02600
31,29.39858,-19.14286,-4.02600
32,25.23842,-13.31864,-4.02600
33,31.89468,-29.95927,-3.71400
34,24.40639,-19.97489,-3.87000
35,24.40639,-15.53739,-3.87000
36,31.33999,-33.28740,-3.40200
37,24.12905,-25.52177,-3.40200
38,24.40639,-18.86552,-3.55800
39,23.85171,-13.59598,-3.40200
40,27.73452,-32.17803,-3.24600
41,30.78531,-23.85771,-3.09000
42,22.74233,-16.64676,-3.24600
43,27.17983,-11.37723,-3.09000
44,32.44937,-28.84990,-2.77800
45,32.44937,-21.63896,-2.77800
46,29.12124,-14.42801,-2.77800
47,29.95327,-33.84209,-2.62200
48,32.44937,-26.07646,-2.46600
49,22.46498,-18.86552,-2.46600
50,29.12124,-14.42801,-2.46600
51,32.44937,-10.54520,-2.46600
52,31.61734,-33.56475,-2.15400
53,23.85171,-26.35380,-2.15400
54,32.44937,-20.52958,-2.15400
55,24.96108,-16.64676,-2.31000
56,23.29702,-14.70536,-2.15400
57,31.06265,-12.76395,-2.31000
58,29.95327,-9.15848,-2.15400
59,24.96108,-30.23662,-1.84200
60,23.01967,-22.74833,-1.84200
61,26.07046,-17.75614,-1.99800
62,25.51577,-14.98270,-1.99800
63,32.17202,-13.04129,-1.84200
64,33.83609,-7.77176,-1.99800
65,33.00406,-28.29521,-1.53000
66,28.56655,-22.74833,-1.53000
67,27.73452,-19.14286,-1.53000
68,30.50796,-16.09208,-1.68600
69,32.17202,-13.31864,-1.68600
70,31.89468,-7.77176,-1.53000
71,33.00406,-28.84990,-1.21800
72,23.01967,-23.30302,-1.21800
73,29.39858,-20.52958,-1.37400
74,28.28921,-17.75614,-1.37400
75,21.63295,-14.70536,-1.21800
76,27.17983,-10.54520,-1.37400
77,28.56655,-32.73272,-0.90600
78,23.01967,-26.07646,-0.90600
79,30.50796,-22.47099,-0.90600
80,27.73452,-19.14286,-0.90600
81,27.17983,-16.64676,-1.06200
82,28.01187,-12.76395,-0.90600
83,29.95327,-10.26785,-0.90600
84,30.50796,-33.56475,-0.59400
85,23.01967,-26.07646,-0.59400
86,21.91030,-22.19364,-0.59400
87,21.07827,-18.86552,-0.75000
88,28.56655,-16.64676,-0.59400
89,28.56655,-12.20926,-0.59400
90,34.66812,-9.99051,-0.59400
91,28.28921,-32.45537,-0.28200
92,28.84390,-24.41240,-0.43800
93,28.84390,-21.91630,-0.28200
94,26.34780,-17.75614,-0.28200
95,25.23842,-15.53739,-0.28200
96,29.67593,-11.65457,-0.28200
97,29.39858,-9.15848,-0.28200
98,62.12518,-33.84209,-0.12600
99,24.40639,-29.12724,0.03000
100,22.18764,-23.58036,0.03000
101,21.07827,-19.97489,-0.12600
102,24.96108,-17.20145,-0.12600
103,24.68374,-14.98270,0.03000
104,29.12124,-11.65457,0.03000
105,33.28140,-9.15848,0.03000
106,63.23455,-33.84209,0.18600
107,57.13298,-32.45537,0.34200
108,23.01967,-27.18583,0.34200
109,27.17983,-23.58036,0.34200
110,26.62514,-20.52958,0.18600
111,25.51577,-18.03348,0.34200
112,20.80092,-14.98270,0.34200
113,32.44937,-11.65457,0.34200
114,33.83609,-8.32644,0.18600
115,57.68767,-34.11943,0.65400
116,59.35173,-32.17803,0.49800
117,58.24236,-30.51396,0.49800
118,34.11343,-25.52177,0.65400
119,26.07046,-22.47099,0.65400
120,28.84390,-19.97489,0.49800
121,23.01967,-17.75614,0.65400
122,34.11343,-15.53739,0.65400
123,22.74233,-12.76395,0.49800
124,28.28921,-9.43582,0.49800
125,35.50015,-6.93972,0.65400
126,55.19157,-3.88894,0.65400
127,30.50796,-33.01006,0.96600
128,25.79311,-31.06865,0.96600
129,23.85171,-29.12724,0.96600
130,29.39858,-24.13505,0.96600
131,34.11343,-20.52958,0.96600
132,27.73452,-17.75614,0.81000
133,34.39078,-14.70536,0.96600
134,33.00406,-10.54520,0.96600
135,30.78531,-7.77176,0.96600
